Dataset,type,n,m,density (m/n),array bpe,bitvector bpe,anti-greedy orientation bpe,random orientation-bpe,lexicographical orientation bpe,greedy orientation baseline bpe (w(G/G_Greedy)),"bpe TREX instance (random or anti-greedy tree, if specified at computation)",H(G-T)/(m-n),DUB/(m-n),NIB/(m-n),alpha DUB,alpha NIB,PLEX bpe,planar edges/n,trex vs baseline (greedy) (%),trex vs baseline (random tree) (%),trex vs baseline (anti-greedy tree),PLEX vs TREX,normalized DUB difference (n log n),normalized NIB difference (n log n),(G-T) bpe including bitvector S',DUB +(3n/2n) + log_2(m over n) vs Baseline (%),NIB +(3n/2n) + log_2(m over n) vs Baseline (%),twin reduction in % (1- n_0/n)*100,number of twin classes (n_0),twin removal overhead vs total trex space (%),,log_2(m over n),log_2(n over n_0)
Amazon0302,directed,262111,1234877,4.711274994,22.45739211,18.27703491,-1,-1,-1,18.27703491,14.67795611,16.87785921,20.73218727,20.59630929,1.061283836,1,13.26508314,1.425377035,19.69180894,17.34887863,16.42421214,9.62581547,0.794700873,0.766685003,17.8245718,3.079592641,3.665229012,0.149936477,261718,0.02343564,,920929.477,4247.82
Cit-HepPh,directed,34546,421578,12.203381,17.55694557,14.04039485,-1,-1,-1,14.04039485,12.86713215,13.30236324,14.8018433,14.59834572,2.072829637,1.223733617,12.43028443,1.420569675,8.356336941,6.754252744,5.618840782,3.395066669,1.114286877,0.963064667,13.74786022,-1.448145619,-0.117541471,0.613674521,34334,0.034574985,,172414.063,1875.52
Slashdot0811,directed,77360,905468,11.70460186,18.70872963,14.93770341,-1,-1,-1,14.93770341,13.605588,14.13596478,16.03716146,15.45323035,7.236347344,1,13.50229887,1.111569286,8.917805936,7.577063678,6.000229555,0.759166966,1.253228485,0.868313497,14.59633835,-2.722303251,0.852825238,0.288262668,77137,0.017840119,,381238.911,2197.8
wikilink_ger_2005,directed,244112,3659390,14.99061906,19.46758449,15.00038373,-1,-1,-1,15.00038373,13.83148288,14.22689433,15.83478773,15.49671316,8.968443604,1.319888185,13.54414615,1.301206004,7.792472971,5.905004972,4.342429852,2.077410941,1.256925366,0.992645097,14.605679,-2.211486013,-0.108058754,4.039539228,234251,0.117713281,,1293650.57,59580.33
wiki-Vote,directed,7115,103689,14.57329585,14.16651718,11.03414857,-1,-1,-1,11.03414857,10.41066988,10.56937287,11.54869691,11.5336211,3.375216065,2.988240235,10.29030224,1.202670415,5.650446749,5.00704037,4.588201234,1.15619495,1.038760691,1.02276991,10.95664412,-2.61571353,-2.488460162,17.82150387,5847,0.445080579,,37397.8726,4804.52
roadNet-PA,undirected,1088092,1541899,1.417066755,57.52502726,42.1335953,21.4624039,21.285071,21.18321595,21.00220598,7.56101152,17.92348004,53.14701741,56.79873157,1.191037398,1.466164512,6.796534894,1.056753473,63.99896503,63.43718411,63.22543138,10.11077187,0.732573482,0.808521248,20.89463605,14.63915905,9.521785435,1.675961224,1069856,1.146397463,,1347967.94,133650.64
bio-grid-yeast,undirected,6008,156945,26.12266977,26.7273376,23.43799124,12.34601477,11.80222587,11.50373513,10.64922762,10.18626941,10.26848871,10.84510626,10.81016416,2.13579344,1.570308416,10.03737673,1.376830892,4.3473407,3.219331952,2.168300414,1.461699861,1.154031232,1.084098796,10.5121213,-0.860020364,-0.544462461,4.194407457,5756,0.094048602,,36773.1159,1503.54
Twitch Gamers,undirected,168114,6797557,40.43421131,36.59355677,31.62681098,16.93522629,15.87562836,15.60156788,13.93175641,13.48980818,13.60969537,14.13446565,14.07053474,3.397367511,1.513586027,13.35328451,1.361879439,3.172236218,2.265130026,1.431699181,1.012050555,1.192108199,1.046877863,13.78117468,-0.501327143,-0.053789877,0.509178296,167258,0.008447624,,1136812.3,7746.28
Erdős-Rényi,undirected,20000,999036,49.9518,30.42040527,28.7231458,14.21694337,14.4154786,14.13695126,14.05559361,13.7967292,13.89328395,14.11453248,14.11685604,1,1.016621766,13.66017648,1.49555,1.841718126,1.705500419,1.638621611,0.989747021,0.75802995,0.765990822,14.03771582,0.299134663,0.282934364,0,20000,0,,141403.977,0
Barabási-Albert,undirected,40000,559804,13.9951,33.50052518,30.14319707,15.65488623,15.2003885,14.97095036,14.13339254,13.06442626,13.51597476,14.5059751,14.59368122,1,1.198645531,12.97076621,1.18655,7.563408936,6.210435157,4.506812194,0.716909048,0.841535546,0.91608887,13.9158569,1.059230442,0.483012085,0,40000,0,,207860.228,0
"Bipartite ($K_{1000,1000}$)",undirected,2000,1000000,500,22.042,21.95438016,9.996563104,10.98587203,10.10662911,9.988039293,9.969229417,9.964350852,9.982995804,9.98798441,1,1.998001998,9.969413417,0.9995,0.188324005,0.159502001,0.188324005,-0.001845679,0.848441896,1.075449349,9.985199817,0.00202459,-0.047821324,99.9,2,0.000209946,,20807.2641,20.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG,,,,,,,,,,,,,,,,,,1.267132384,11.95644223,10.87175673,10.01210021,,,,,0.792740497,1.040513826,,,0.171613476,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-AstroPh.txt,undirected,18772,198110,10.55348391,,,,,,12.74344418,,,2448753.544,2411144.39,3.042505132,1.526675342,,,9.870236261,,,,1.127558337,0.986432014,,-2.030427875,-0.540722642,,,,,89566.44,
facebook_combined.txt,undirected,4039,88234,21.84550631,,,,,,10.76444789,,,931537.4668,920460.508,3.540615335,1.24200492,,,4.914253887,,,,1.243227634,1.014300244,,-1.419267138,-0.253014039,,,,,23654.89,
power-US-Grid.txt,undirected,4941,6594,1.334547662,,,,,,12.65859057,,,74832.69606,72345.1148,2.341617379,1.926315789,,,64.29485697,,,,0.993973104,0.952943524,,-7.899989093,-4.919805763,,,,,5350.23,
oregon1_010331.txt,undirected,10670,22002,2.062043112,,,,,,9.041600149,,,193456.6772,193546.508,6.31597344,6.404561825,,,44.49436973,,,,0.884999049,0.885628215,,-19.02320189,-19.06835813,,,,,21980.09,
email-Eu-core.txt,directed,1005,25571,25.44378109,,,,,,9.489776864,,,236844.9608,234815.828,1.819968429,1.014127144,,,3.970579354,,,,1.291100785,1.088650008,,-1.361647828,-0.525454384,,,,,6107.34,
p2p-Gnutella24.txt,directed,26518,65369,2.465080323,,,,,,15.40097612,,,897898.3264,817913.953,1.778809471,1.012639859,,,35.97914879,,,,1.017787876,0.812527973,,-3.414768442,4.530069781,,,,,63672.14,
celegansneural.txt,directed,297,2345,7.895622896,,,,,,8.071708296,,,17529.31556,17437.7041,1.209388076,1.1,,,10.54845015,,,,1.135055539,1.097504516,,-4.080268623,-3.596272914,,,,,1280.16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,,,,,,,,,,,,,,,,,,,24.86741359,,,,,,,-5.604224412,-3.48193687,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G_A (…),directed,1000,2997,2.997,,,,,,5.986077716,2.588290741,,,,,,,,56.76149118,,,,,,,,,,,,,,
G_B (see thesis),directed,1000,2997,2.997,,,,,,2.665298094,2.591429318,,,,,,,,2.77150149,,,,,,,,,,,,,,
